PassengerId,Survived,Pclass,Name,Sex,SibSp,Parch,Ticket,Fare,Embarked,Family Size,Title,Fare_log,oe__Pclass,oe__Title,ohe__Sex_female,ohe__Sex_male,ohe__Embarked_C,ohe__Embarked_Q,ohe__Embarked_S,remainder__PassengerId,remainder__Survived,remainder__Name,remainder__SibSp,remainder__Parch,remainder__Ticket,remainder__Fare,remainder__Family Size,remainder__Fare_log
21,0,2,"Fynney, Mr. Joseph J",male,0,0,239865,0.0956499463257538,S,1,Mr,3.258096538021482,1.0,12.0,0.0,1.0,0.0,0.0,1.0,21,0,"Fynney, Mr. Joseph J",0,0,239865,0.0956499463257538,1,3.258096538021482
22,1,2,"Beesley, Mr. Lawrence",male,0,0,248698,0.0322167463647896,S,1,Mr,2.5649493574615367,1.0,12.0,0.0,1.0,0.0,0.0,1.0,22,1,"Beesley, Mr. Lawrence",0,0,248698,0.0322167463647896,1,2.5649493574615367
23,1,3,"McGowan, Miss. Anna ""Annie""",female,0,0,330923,0.007961842490485,Q,1,Miss,2.0830848965946345,2.0,9.0,1.0,0.0,0.0,1.0,0.0,23,1,"McGowan, Miss. Anna ""Annie""",0,0,330923,0.007961842490485,1,2.0830848965946345
24,1,1,"Sloper, Mr. William Thompson",male,0,0,113788,0.1420049770664584,S,1,Mr,3.56953269648137,0.0,12.0,0.0,1.0,0.0,0.0,1.0,24,1,"Sloper, Mr. William Thompson",0,0,113788,0.1420049770664584,1,3.56953269648137
25,0,3,"Palsson, Miss. Torborg Danira",female,3,1,349909,0.0716185224943885,S,5,Miss,3.048087503887919,2.0,9.0,1.0,0.0,0.0,0.0,1.0,25,0,"Palsson, Miss. Torborg Danira",3,1,349909,0.0716185224943885,5,3.048087503887919
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,1,5,347077,0.1219381282326534,S,7,Mrs,3.446409724483704,2.0,13.0,1.0,0.0,0.0,0.0,1.0,26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,5,347077,0.1219381282326534,7,3.446409724483704
27,0,3,"Emir, Mr. Farred Chehab",male,0,0,2631,0.0040377671513613,C,1,Mr,1.977547233998496,2.0,12.0,0.0,1.0,1.0,0.0,0.0,27,0,"Emir, Mr. Farred Chehab",0,0,2631,0.0040377671513613,1,1.977547233998496
28,0,1,"Fortune, Mr. Charles Alexander",male,3,2,19950,1.0,S,6,Mr,5.353456381663085,0.0,12.0,0.0,1.0,0.0,0.0,1.0,28,0,"Fortune, Mr. Charles Alexander",3,2,19950,1.0,6,5.353456381663085
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,0,0,330959,0.0072299209524738,Q,1,Miss,2.064226375873356,2.0,9.0,1.0,0.0,0.0,1.0,0.0,29,1,"O'Dwyer, Miss. Ellen ""Nellie""",0,0,330959,0.0072299209524738,1,2.064226375873356
30,0,3,"Todoroff, Mr. Lalio",male,0,0,349216,0.0073109202693471,S,1,Mr,2.0663309725297405,2.0,12.0,0.0,1.0,0.0,0.0,1.0,30,0,"Todoroff, Mr. Lalio",0,0,349216,0.0073109202693471,1,2.0663309725297405
31,0,1,"Uruchurtu, Don. Manuel E",male,0,0,PC 17601,0.1040465502098175,C,1,Don,3.32218303393412,0.0,3.0,0.0,1.0,1.0,0.0,0.0,31,0,"Uruchurtu, Don. Manuel E",0,0,PC 17601,0.1040465502098175,1,3.32218303393412
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1,0,PC 17569,0.6837284083146287,C,2,Mrs,4.987167397901168,0.0,13.0,1.0,0.0,1.0,0.0,0.0,32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,0,PC 17569,0.6837284083146287,2,4.987167397901168
33,1,3,"Glynn, Miss. Mary Agatha",female,0,0,335677,0.0065994925344003,Q,1,Miss,2.0476928433652555,2.0,9.0,1.0,0.0,0.0,1.0,0.0,33,1,"Glynn, Miss. Mary Agatha",0,0,335677,0.0065994925344003,1,2.0476928433652555
34,0,2,"Wheadon, Mr. Edward H",male,0,0,C.A. 24579,0.0200180540646042,S,1,Mr,2.3513752571634776,1.0,12.0,0.0,1.0,0.0,0.0,1.0,34,0,"Wheadon, Mr. Edward H",0,0,C.A. 24579,0.0200180540646042,1,2.3513752571634776
35,0,1,"Meyer, Mr. Edgar Joseph",male,1,0,PC 17604,0.3697340685078559,C,2,Mr,4.408800007809053,0.0,12.0,0.0,1.0,1.0,0.0,0.0,35,0,"Meyer, Mr. Edgar Joseph",1,0,PC 17604,0.3697340685078559,2,4.408800007809053
36,0,1,"Holverson, Mr. Alexander Oskar",male,1,0,113789,0.2225163462476822,S,2,Mr,3.951243718581428,0.0,12.0,0.0,1.0,0.0,0.0,1.0,36,0,"Holverson, Mr. Alexander Oskar",1,0,113789,0.2225163462476822,2,3.951243718581428
37,1,3,"Mamee, Mr. Hanna",male,0,0,2677,0.0040582609544256,C,1,Mr,1.9781283799793463,2.0,12.0,0.0,1.0,1.0,0.0,0.0,37,1,"Mamee, Mr. Hanna",0,0,2677,0.0040582609544256,1,1.9781283799793463
38,0,3,"Cann, Mr. Ernest Charles",male,0,0,A./5. 2152,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,38,0,"Cann, Mr. Ernest Charles",0,0,A./5. 2152,0.0080633356104225,1,2.0856720914304723
39,0,3,"Vander Planke, Miss. Augusta Maria",female,2,0,345764,0.0566141309651605,S,3,Miss,2.8903717578961645,2.0,9.0,1.0,0.0,0.0,0.0,1.0,39,0,"Vander Planke, Miss. Augusta Maria",2,0,345764,0.0566141309651605,3,2.8903717578961645
40,1,3,"Nicola-Yarred, Miss. Jamila",female,1,0,2651,0.0236371620962232,C,2,Miss,2.419630078580691,2.0,9.0,1.0,0.0,1.0,0.0,0.0,40,1,"Nicola-Yarred, Miss. Jamila",1,0,2651,0.0236371620962232,2,2.419630078580691
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,1,0,7546,0.0150165902215282,S,2,Mrs,2.24865675096849,2.0,13.0,1.0,0.0,0.0,0.0,1.0,41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0,7546,0.0150165902215282,2,2.24865675096849
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,1,0,11668,0.071252561725383,S,2,Mrs,3.044522437723423,1.0,13.0,1.0,0.0,0.0,0.0,1.0,42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,0,11668,0.071252561725383,2,3.044522437723423
43,0,3,"Kraeff, Mr. Theodor",male,0,0,349253,0.0073109202693471,C,1,Mr,2.0663309725297405,2.0,12.0,0.0,1.0,1.0,0.0,0.0,43,0,"Kraeff, Mr. Theodor",0,0,349253,0.0073109202693471,1,2.0663309725297405
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,1,2,SC/Paris 2123,0.1716682931589733,C,4,Miss,3.7276000422255353,1.0,9.0,1.0,0.0,1.0,0.0,0.0,44,1,"Laroche, Miss. Simonne Marie Anne Andree",1,2,SC/Paris 2123,0.1716682931589733,4,3.7276000422255353
45,1,3,"Devaney, Miss. Margaret Delia",female,0,0,330958,0.0072299209524738,Q,1,Miss,2.064226375873356,2.0,9.0,1.0,0.0,0.0,1.0,0.0,45,1,"Devaney, Miss. Margaret Delia",0,0,330958,0.0072299209524738,1,2.064226375873356
46,0,3,"Rogers, Mr. William John",male,0,0,S.C./A.4. 23567,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,46,0,"Rogers, Mr. William John",0,0,S.C./A.4. 23567,0.0080633356104225,1,2.0856720914304723
47,0,3,"Lennon, Mr. Denis",male,1,0,370371,0.0444154386649751,Q,2,Mr,2.740840023925201,2.0,12.0,0.0,1.0,0.0,1.0,0.0,47,0,"Lennon, Mr. Denis",1,0,370371,0.0444154386649751,2,2.740840023925201
48,1,3,"O'Driscoll, Miss. Bridget",female,0,0,14311,0.0065994925344003,Q,1,Miss,2.0476928433652555,2.0,9.0,1.0,0.0,0.0,1.0,0.0,48,1,"O'Driscoll, Miss. Bridget",0,0,14311,0.0065994925344003,1,2.0476928433652555
49,0,3,"Samaan, Mr. Youssef",male,2,0,2662,0.0745667024494974,C,3,Mr,3.0763532755216065,2.0,12.0,0.0,1.0,1.0,0.0,0.0,49,0,"Samaan, Mr. Youssef",2,0,2662,0.0745667024494974,3,3.0763532755216065
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,1,0,349237,0.0556382355811456,S,2,Mrs,2.87919845729804,2.0,13.0,1.0,0.0,0.0,0.0,1.0,50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,0,349237,0.0556382355811456,2,2.87919845729804
51,0,3,"Panula, Master. Juha Niilo",male,4,1,3101295,0.162437786669269,S,6,Master,3.681036276652911,2.0,8.0,0.0,1.0,0.0,0.0,1.0,51,0,"Panula, Master. Juha Niilo",4,1,3101295,0.162437786669269,6,3.681036276652911
52,0,3,"Nosworthy, Mr. Richard Cater",male,0,0,A/4. 39886,0.006843466380404,S,1,Mr,2.0541237336955462,2.0,12.0,0.0,1.0,0.0,0.0,1.0,52,0,"Nosworthy, Mr. Richard Cater",0,0,A/4. 39886,0.006843466380404,1,2.0541237336955462
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1,0,PC 17572,0.3431819068995804,C,2,Mrs,4.340282339965535,0.0,13.0,1.0,0.0,1.0,0.0,0.0,53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,0,PC 17572,0.3431819068995804,2,4.340282339965535
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,1,0,2926,0.0956499463257538,S,2,Mrs,3.258096538021482,1.0,13.0,1.0,0.0,0.0,0.0,1.0,54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,0,2926,0.0956499463257538,2,3.258096538021482
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,0,1,113509,0.2712096223284864,C,2,Mr,4.126798844886821,0.0,12.0,0.0,1.0,1.0,0.0,0.0,55,0,"Ostby, Mr. Engelhart Cornelius",0,1,113509,0.2712096223284864,2,4.126798844886821
56,1,1,"Woolner, Mr. Hugh",male,0,0,19947,0.1420049770664584,S,1,Mr,3.56953269648137,0.0,12.0,0.0,1.0,0.0,0.0,1.0,56,1,"Woolner, Mr. Hugh",0,0,19947,0.1420049770664584,1,3.56953269648137
57,1,2,"Rugg, Miss. Emily",female,0,0,C.A. 31026,0.0200180540646042,S,1,Miss,2.3513752571634776,1.0,9.0,1.0,0.0,0.0,0.0,1.0,57,1,"Rugg, Miss. Emily",0,0,C.A. 31026,0.0200180540646042,1,2.3513752571634776
58,0,3,"Novel, Mr. Mansouer",male,0,0,2697,0.0040582609544256,C,1,Mr,1.9781283799793463,2.0,12.0,0.0,1.0,1.0,0.0,0.0,58,0,"Novel, Mr. Mansouer",0,0,2697,0.0040582609544256,1,1.9781283799793463
59,1,2,"West, Miss. Constance Mirium",female,1,2,C.A. 34651,0.1041890309358836,S,4,Miss,3.323235840192444,1.0,9.0,1.0,0.0,0.0,0.0,1.0,59,1,"West, Miss. Constance Mirium",1,2,C.A. 34651,0.1041890309358836,4,3.323235840192444
60,0,3,"Goodwin, Master. William Frederick",male,5,2,CA 2144,0.1976310139553039,S,8,Master,3.8480176754522337,2.0,8.0,0.0,1.0,0.0,0.0,1.0,60,0,"Goodwin, Master. William Frederick",5,2,CA 2144,0.1976310139553039,8,3.8480176754522337
61,0,3,"Sirayanian, Mr. Orsen",male,0,0,2669,0.0040582609544256,C,1,Mr,1.9781283799793463,2.0,12.0,0.0,1.0,1.0,0.0,0.0,61,0,"Sirayanian, Mr. Orsen",0,0,2669,0.0040582609544256,1,1.9781283799793463
62,1,1,"Icard, Miss. Amelie",female,0,0,113572,0.3591417000097589,S,1,Miss,4.382026634673881,0.0,9.0,1.0,0.0,0.0,0.0,1.0,62,1,"Icard, Miss. Amelie",0,0,113572,0.3591417000097589,1,4.382026634673881
63,0,1,"Harris, Mr. Henry Birkhardt",male,1,0,36973,0.3760978823070166,S,2,Mr,4.424547185829718,0.0,12.0,0.0,1.0,0.0,0.0,1.0,63,0,"Harris, Mr. Henry Birkhardt",1,0,36973,0.3760978823070166,2,4.424547185829718
64,0,3,"Skoog, Master. Harald",male,3,2,347088,0.1049209524738947,S,6,Master,3.32862668882732,2.0,8.0,0.0,1.0,0.0,0.0,1.0,64,0,"Skoog, Master. Harald",3,2,347088,0.1049209524738947,6,3.32862668882732
65,0,1,"Stewart, Mr. Albert A",male,0,0,PC 17605,0.1040465502098175,C,1,Mr,3.32218303393412,0.0,12.0,0.0,1.0,1.0,0.0,0.0,65,0,"Stewart, Mr. Albert A",0,0,PC 17605,0.1040465502098175,1,3.32218303393412
66,1,3,"Moubarek, Master. Gerios",male,1,1,2661,0.0431750756318922,C,3,Master,2.724304055285101,2.0,8.0,0.0,1.0,1.0,0.0,0.0,66,1,"Moubarek, Master. Gerios",1,1,2661,0.0431750756318922,3,2.724304055285101
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,0,0,C.A. 29395,0.0200180540646042,S,1,Mrs,2.3513752571634776,1.0,13.0,1.0,0.0,0.0,0.0,1.0,67,1,"Nye, Mrs. (Elizabeth Ramell)",0,0,C.A. 29395,0.0200180540646042,1,2.3513752571634776
68,0,3,"Crease, Mr. Ernest James",male,0,0,S.P. 3464,0.0085917829608665,S,1,Mr,2.0990358139382788,2.0,12.0,0.0,1.0,0.0,0.0,1.0,68,0,"Crease, Mr. Ernest James",0,0,S.P. 3464,0.0085917829608665,1,2.0990358139382788
69,1,3,"Andersson, Miss. Erna Alexandra",female,4,2,3101281,0.0074534009954132,S,7,Miss,2.0700223197633445,2.0,9.0,1.0,0.0,0.0,0.0,1.0,69,1,"Andersson, Miss. Erna Alexandra",4,2,3101281,0.0074534009954132,7,2.0700223197633445
70,0,3,"Kink, Mr. Vincenz",male,2,0,315151,0.0110520152239679,S,3,Mr,2.1590033645160216,2.0,12.0,0.0,1.0,0.0,0.0,1.0,70,0,"Kink, Mr. Vincenz",2,0,315151,0.0110520152239679,3,2.1590033645160216
71,0,2,"Jenkin, Mr. Stephen Curnow",male,0,0,C.A. 33111,0.0200180540646042,S,1,Mr,2.3513752571634776,1.0,12.0,0.0,1.0,0.0,0.0,1.0,71,0,"Jenkin, Mr. Stephen Curnow",0,0,C.A. 33111,0.0200180540646042,1,2.3513752571634776
72,0,3,"Goodwin, Miss. Lillian Amy",female,5,2,CA 2144,0.1976310139553039,S,8,Miss,3.8480176754522337,2.0,9.0,1.0,0.0,0.0,0.0,1.0,72,0,"Goodwin, Miss. Lillian Amy",5,2,CA 2144,0.1976310139553039,8,3.8480176754522337
73,0,2,"Hood, Mr. Ambrose Jr",male,0,0,S.O.C. 14879,0.3274251000292768,S,1,Mr,4.297285406218791,1.0,12.0,0.0,1.0,0.0,0.0,1.0,73,0,"Hood, Mr. Ambrose Jr",0,0,S.O.C. 14879,0.3274251000292768,1,4.297285406218791
74,0,3,"Chronopoulos, Mr. Apostolos",male,1,0,2680,0.0393124817019615,C,2,Mr,2.6709850297651974,2.0,12.0,0.0,1.0,1.0,0.0,0.0,74,0,"Chronopoulos, Mr. Apostolos",1,0,2680,0.0393124817019615,2,2.6709850297651974
75,1,3,"Bing, Mr. Lee",male,0,0,1601,0.2444534985849517,S,1,Mr,4.034166299106131,2.0,12.0,0.0,1.0,0.0,0.0,1.0,75,1,"Bing, Mr. Lee",0,0,1601,0.2444534985849517,1,4.034166299106131
76,0,3,"Moen, Mr. Sigurd Hansen",male,0,0,348123,0.0061115448423928,S,1,Mr,2.0347056478384444,2.0,12.0,0.0,1.0,0.0,0.0,1.0,76,0,"Moen, Mr. Sigurd Hansen",0,0,348123,0.0061115448423928,1,2.0347056478384444
77,0,3,"Staneff, Mr. Ivan",male,0,0,349208,0.0073109202693471,S,1,Mr,2.0663309725297405,2.0,12.0,0.0,1.0,0.0,0.0,1.0,77,0,"Staneff, Mr. Ivan",0,0,349208,0.0073109202693471,1,2.0663309725297405
78,0,3,"Moutal, Mr. Rahamin Haim",male,0,0,374746,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,78,0,"Moutal, Mr. Rahamin Haim",0,0,374746,0.0080633356104225,1,2.0856720914304723
79,1,2,"Caldwell, Master. Alden Gates",male,0,2,248738,0.1102883770859763,S,3,Master,3.367295829986474,1.0,8.0,0.0,1.0,0.0,0.0,1.0,79,1,"Caldwell, Master. Alden Gates",0,2,248738,0.1102883770859763,3,3.367295829986474
80,1,3,"Dowdell, Miss. Elizabeth",female,0,0,364516,0.0296550209817507,S,1,Miss,2.5237266416375825,2.0,9.0,1.0,0.0,0.0,0.0,1.0,80,1,"Dowdell, Miss. Elizabeth",0,0,364516,0.0296550209817507,1,2.5237266416375825
81,0,3,"Waelens, Mr. Achille",male,0,0,345767,0.012698838684493,S,1,Mr,2.19722457733622,2.0,12.0,0.0,1.0,0.0,0.0,1.0,81,0,"Waelens, Mr. Achille",0,0,345767,0.012698838684493,1,2.19722457733622
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,0,0,345779,0.0151385771445301,S,1,Mr,2.251291798606496,2.0,12.0,0.0,1.0,0.0,0.0,1.0,82,1,"Sheerlinck, Mr. Jan Baptist",0,0,345779,0.0151385771445301,1,2.251291798606496
83,1,3,"McDermott, Miss. Brigdet Delia",female,0,0,330932,0.006782472918903,Q,1,Miss,2.0525198841135714,2.0,9.0,1.0,0.0,0.0,1.0,0.0,83,1,"McDermott, Miss. Brigdet Delia",0,0,330932,0.006782472918903,1,2.0525198841135714
84,0,1,"Carrau, Mr. Francisco M",male,0,0,113059,0.1986069093393188,S,1,Mr,3.852273001022372,0.0,12.0,0.0,1.0,0.0,0.0,1.0,84,0,"Carrau, Mr. Francisco M",0,0,113059,0.1986069093393188,1,3.852273001022372
85,1,2,"Ilett, Miss. Bertha",female,0,0,SO/C 14885,0.0200180540646042,S,1,Miss,2.3513752571634776,1.0,9.0,1.0,0.0,0.0,0.0,1.0,85,1,"Ilett, Miss. Bertha",0,0,SO/C 14885,0.0200180540646042,1,2.3513752571634776
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,3,0,3101278,0.046123255587001,S,4,Mrs,2.763169500323289,2.0,13.0,1.0,0.0,0.0,0.0,1.0,86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,0,3101278,0.046123255587001,4,2.763169500323289
87,0,3,"Ford, Mr. William Neal",male,1,3,W./C. 6608,0.136515565531375,S,5,Mr,3.5373295559867355,2.0,12.0,0.0,1.0,0.0,0.0,1.0,87,0,"Ford, Mr. William Neal",1,3,W./C. 6608,0.136515565531375,5,3.5373295559867355
88,0,3,"Slocovski, Mr. Selman Francis",male,0,0,SOTON/OQ 392086,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,88,0,"Slocovski, Mr. Selman Francis",0,0,SOTON/OQ 392086,0.0080633356104225,1,2.0856720914304723
89,1,1,"Fortune, Miss. Mabel Helen",female,3,2,19950,1.0,S,6,Miss,5.353456381663085,0.0,9.0,1.0,0.0,0.0,0.0,1.0,89,1,"Fortune, Miss. Mabel Helen",3,2,19950,1.0,6,5.353456381663085
90,0,3,"Celotti, Mr. Francesco",male,0,0,343275,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,90,0,"Celotti, Mr. Francesco",0,0,343275,0.0080633356104225,1,2.0856720914304723
91,0,3,"Christmann, Mr. Emil",male,0,0,343276,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,91,0,"Christmann, Mr. Emil",0,0,343276,0.0080633356104225,1,2.0856720914304723
92,0,3,"Andreasson, Mr. Paul Edvin",male,0,0,347466,0.007107934029472,S,1,Mr,2.061048420562944,2.0,12.0,0.0,1.0,0.0,0.0,1.0,92,0,"Andreasson, Mr. Paul Edvin",0,0,347466,0.007107934029472,1,2.061048420562944
93,0,1,"Chaffee, Mr. Herbert Fuller",male,1,0,W.E.P. 5734,0.2672855469893627,S,2,Mr,4.113738609328736,0.0,12.0,0.0,1.0,0.0,0.0,1.0,93,0,"Chaffee, Mr. Herbert Fuller",1,0,W.E.P. 5734,0.2672855469893627,2,4.113738609328736
94,0,3,"Dean, Mr. Bertram Frank",male,1,2,C.A. 2315,0.0691787840343515,S,4,Mr,3.024076746563133,2.0,12.0,0.0,1.0,0.0,0.0,1.0,94,0,"Dean, Mr. Bertram Frank",1,2,C.A. 2315,0.0691787840343515,4,3.024076746563133
95,0,3,"Coxon, Mr. Daniel",male,0,0,364500,0.0041597540743632,S,1,Mr,1.981001468866584,2.0,12.0,0.0,1.0,0.0,0.0,1.0,95,0,"Coxon, Mr. Daniel",0,0,364500,0.0041597540743632,1,1.981001468866584
96,0,3,"Shorney, Mr. Charles Joseph",male,0,0,374910,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,96,0,"Shorney, Mr. Charles Joseph",0,0,374910,0.0080633356104225,1,2.0856720914304723
97,0,1,"Goldschmidt, Mr. George B",male,0,0,PC 17754,0.1378779154874597,C,1,Mr,3.545418930411529,0.0,12.0,0.0,1.0,1.0,0.0,0.0,97,0,"Goldschmidt, Mr. George B",0,0,PC 17754,0.1378779154874597,1,3.545418930411529
